Latitude,Longitude,Timestamp
6228.3176,00614.2038,1613561090.0702555
6228.3176,00614.2038,1613561090.698842
6228.3176,00614.2038,1613561091.6488109
6228.3176,00614.2038,1613561092.6873598
6228.3176,00614.2038,1613561093.6592135
6228.3176,00614.2038,1613561095.082369
6228.3176,00614.2038,1613561095.6653633
6228.3176,00614.2038,1613561096.699718
6228.3176,00614.2038,1613561097.705755
6228.3176,00614.2038,1613561098.6674838
6228.3176,00614.2038,1613561100.1038117
6228.3176,00614.2038,1613561100.6877832
