0,testnow,2,12:05:06:577,2021-03-10
0,testnow,1,12:05:06:577,2021-03-10
1,testnow,2,12:05:06:658,2021-03-10
1,testnow,1,12:05:06:658,2021-03-10
2,testnow,1,12:05:06:710,2021-03-10
2,testnow,2,12:05:06:710,2021-03-10
3,testnow,2,12:05:06:780,2021-03-10
3,testnow,1,12:05:06:780,2021-03-10
4,testnow,2,12:05:06:842,2021-03-10
4,testnow,1,12:05:06:842,2021-03-10
5,testnow,1,12:05:06:922,2021-03-10
5,testnow,2,12:05:06:952,2021-03-10
6,testnow,1,12:05:06:976,2021-03-10
6,testnow,2,12:05:06:976,2021-03-10
7,testnow,2,12:05:07:048,2021-03-10
7,testnow,1,12:05:07:048,2021-03-10
8,testnow,2,12:05:07:111,2021-03-10
8,testnow,1,12:05:07:111,2021-03-10
9,testnow,1,12:05:07:175,2021-03-10
9,testnow,2,12:05:07:206,2021-03-10
10,testnow,2,12:05:07:246,2021-03-10
10,testnow,1,12:05:07:246,2021-03-10
11,testnow,1,12:05:07:304,2021-03-10
11,testnow,2,12:05:07:304,2021-03-10
12,testnow,2,12:05:07:382,2021-03-10
12,testnow,1,12:05:07:406,2021-03-10
13,testnow,2,12:05:07:442,2021-03-10
13,testnow,1,12:05:07:468,2021-03-10
14,testnow,1,12:05:07:522,2021-03-10
14,testnow,2,12:05:07:549,2021-03-10
15,testnow,2,12:05:07:577,2021-03-10
15,testnow,1,12:05:07:577,2021-03-10
16,testnow,1,12:05:07:648,2021-03-10
16,testnow,2,12:05:07:648,2021-03-10
17,testnow,2,12:05:07:713,2021-03-10
17,testnow,1,12:05:07:713,2021-03-10
18,testnow,1,12:05:07:781,2021-03-10
18,testnow,2,12:05:07:811,2021-03-10
19,testnow,1,12:05:07:848,2021-03-10
19,testnow,2,12:05:07:848,2021-03-10
20,testnow,2,12:05:07:914,2021-03-10
20,testnow,1,12:05:07:914,2021-03-10
21,testnow,2,12:05:07:982,2021-03-10
21,testnow,1,12:05:07:982,2021-03-10
22,testnow,1,12:05:08:048,2021-03-10
22,testnow,2,12:05:08:075,2021-03-10
23,testnow,2,12:05:08:115,2021-03-10
23,testnow,1,12:05:08:141,2021-03-10
24,testnow,2,12:05:08:182,2021-03-10
24,testnow,1,12:05:08:182,2021-03-10
25,testnow,2,12:05:08:248,2021-03-10
25,testnow,1,12:05:08:275,2021-03-10
26,testnow,1,12:05:08:315,2021-03-10
26,testnow,2,12:05:08:315,2021-03-10
27,testnow,1,12:05:08:382,2021-03-10
27,testnow,2,12:05:08:382,2021-03-10
28,testnow,1,12:05:08:447,2021-03-10
28,testnow,2,12:05:08:447,2021-03-10
29,testnow,1,12:05:08:522,2021-03-10
29,testnow,2,12:05:08:522,2021-03-10
30,testnow,1,12:05:08:576,2021-03-10
30,testnow,2,12:05:08:576,2021-03-10
31,testnow,1,12:05:08:667,2021-03-10
31,testnow,2,12:05:08:667,2021-03-10
32,testnow,1,12:05:08:718,2021-03-10
32,testnow,2,12:05:08:718,2021-03-10
33,testnow,1,12:05:08:779,2021-03-10
33,testnow,2,12:05:08:779,2021-03-10
34,testnow,1,12:05:08:860,2021-03-10
34,testnow,2,12:05:08:860,2021-03-10
35,testnow,2,12:05:08:913,2021-03-10
35,testnow,1,12:05:08:913,2021-03-10
36,testnow,1,12:05:08:992,2021-03-10
36,testnow,2,12:05:08:992,2021-03-10
37,testnow,1,12:05:09:054,2021-03-10
37,testnow,2,12:05:09:054,2021-03-10
38,testnow,1,12:05:09:127,2021-03-10
38,testnow,2,12:05:09:127,2021-03-10
39,testnow,2,12:05:09:182,2021-03-10
39,testnow,1,12:05:09:182,2021-03-10
40,testnow,1,12:05:09:259,2021-03-10
